"ID","Fwy","Dir","District","County","City","State_PM","Abs_PM","Latitude","Longitude","Length","Type","Lanes","Name","User_ID_1","User_ID_2","User_ID_3","User_ID_4"
401636,80,"W",4,95,NA,".23",27.702,38.064357,-122.226272,0.322,"ML",4,"CARQUINEZ NORTH TOWER WEST LEG","DTB55","L4-W-23-080-00023","883312",419472
401638,80,"W",4,95,81666,".47",27.942,38.067752,-122.226796,0.43,"ML",4,"W OF OF CARQUINEZ BRIDGE SUBST","DTB54","L4-W-23-080-00047","883311",419478
401646,80,"W",4,13,NA,"13.931",27.264,38.058015,-122.225635,0.438,"ML",4,"Carquinez South Tower West Leg","DTB56","L4-W-28-080-01393","883321",424384
401673,80,"W",4,13,NA,"12.666",25.999,38.044372,-122.239337,0.2,"ML",4,"Cummings Skywy rm-w-diag","DT972","L4-W-28-080-01267","080264",424372
401698,80,"W",4,1,22594,"3.68",8.99,37.836566,-122.296138,0.62,"ML",5,"W of Powell St","DT077","L5-W-33-080-00368","080364",428555
401782,80,"W",4,95,23182,"13.19",40.673,38.220082,-122.133174,0.475,"ML",5,"1200' W of Suisun Valley Rd","DT778","L5-W-23-080-01319","990078",419508
401785,80,"W",4,95,23182,"13.58",41.063,38.223755,-122.127691,0.4,"ML",6,"Suisun Valley Rd","DT7A8","L6-W-23-080-01358","990081",438760
401786,80,"W",4,95,NA,"13.99",41.473,38.227238,-122.121552,0.465,"ML",5,"2500' E OF SUISUN VALLEY RD OC","DT780","L5-W-23-080-01399","990082",427113
401788,80,"W",4,95,NA,"14.51",41.993,38.230959,-122.113197,0.395,"ML",5,"E of Cordelia Truck Inspection","DT782","L5-W-23-080-01451","990084",427120
401790,80,"W",4,95,NA,"14.97",42.453,38.234207,-122.105771,0.365,"ML",5,"5000' E of Cordelia Truck Insp","DT784","L5-W-23-080-01497","990086",427127
401877,80,"W",4,95,NA,"23.96",51.441,38.335912,-122.017281,0.385,"ML",4,"E of Pleasant Valley OC","DT433","L4-W-23-080-02396","101534",419544
401894,80,"W",4,13,68294,"4.557",17.89,37.959017,-122.33077,0.309,"ML",5,"800' E of San Pablo Dam Rd","DT098","L5-W-28-080-00456","101546",427218
401900,80,"W",4,1,674,"7.26",12.57,37.88833,-122.30909,0.55,"ML",6,"Buchanan St rm-w-diag","DT640","L6-W-33-080-00726","101552",423818
401923,80,"W",4,95,81554,"27.55",55.031,38.364998,-121.963981,0.345,"ML",4,"E Monte Vista Ave rm-w-hook","DTA76","L4-W-23-080-02755","997110",419550
402003,80,"W",4,95,23182,"17.49",44.973,38.253226,-122.066886,0.39,"ML",4,"OLIVER RD","DT146","L4-W-23-080-01749","997117",419526
402077,80,"W",4,95,81666,"5.52",32.992,38.137369,-122.221311,0.595,"ML",4,"EB 37 rm-e-diag","DT734","L4-W-23-080-00552","997157",419484
402175,80,"W",4,95,NA,"2.3",29.772,38.092543,-122.230332,0.49,"ML",3,"4A5344 LOC 3","DS903","N3-W-23-080-00230","991002",429051
402176,80,"W",4,95,81666,"2.83",30.302,38.100129,-122.22987,0.215,"ML",3,"4A5344 LOC 4","DS904","N3-W-23-080-00283","991003",429056
402179,80,"W",4,95,81666,"6.25",33.722,38.147197,-122.216839,0.375,"ML",5,"4A5344 LOC 7","DS907","N5-W-23-080-00625","991006",425087
402234,80,"W",4,55,NA,"7.5",34.972,38.163669,-122.208464,0.773,"ML",4,"4A5344 loc 10","DS401","N4-W-21-080-00750","991051",427938
402236,80,"W",4,95,81666,"1.26",28.732,38.078015,-122.232776,0.33,"ML",3,"4A5344 loc 1","DS901","N3-W-23-080-00126","991053",429046
402238,80,"W",4,95,81666,"6.5",33.972,38.150809,-122.216813,0.9,"ML",4,"4A5344 loc 8","DS908","N4-W-23-080-00650","991055",427944
402240,80,"W",4,95,81554,"31.23",58.697,38.402318,-121.915787,1.25,"ML",3,"4A5344 loc 49","DS941","N3-W-23-080-03123","991079",429061
402242,80,"W",4,95,81554,"32",59.467,38.410093,-121.905606,0.695,"ML",3,"4A5344 loc 50","DS942","N3-W-23-080-03200","991081",429066
402244,80,"W",4,95,81554,"32.62",60.087,38.416347,-121.897404,0.73,"ML",3,"4A5344 loc 51","DS943","N3-W-23-080-03262","991083",429071
402247,80,"W",4,95,NA,"34",61.467,38.430261,-121.879137,0.77,"ML",3,"4A5344 loc 54","DS945","N3-W-23-080-03400","991086",429076
402249,80,"W",4,95,NA,"35",62.467,38.44034,-121.865893,0.785,"ML",3,"4A5344 loc 55","DS946","N3-W-23-080-03500","991088",429081
402252,80,"W",4,95,NA,"35.57",63.037,38.446157,-121.858439,0.5,"ML",3,"4A5344 loc 57","DS948","N3-W-23-080-03557","991091",429086
402253,80,"W",4,95,NA,"36",63.467,38.450532,-121.852801,0.465,"ML",3,"4A5344 LOC 58","DS949","N3-W-23-080-03600","991092",429091
402254,80,"W",4,95,NA,"36.5",63.967,38.455628,-121.846255,0.5,"ML",3,"4A5344 loc 59","DS950","N3-W-23-080-03650","991093",429096
402256,80,"W",4,95,NA,"37",64.467,38.460724,-121.83971,0.5,"ML",3,"4A5344 loc 61","DS951","N3-W-23-080-03700","991095",429101
402258,80,"W",4,95,NA,"37.5",64.967,38.465814,-121.833155,0.62,"ML",3,"4A5344 loc 63","DS952","N3-W-23-080-03750","991097",429106
402260,80,"W",4,95,NA,"38.24",65.707,38.473363,-121.823474,0.75,"ML",3,"4A5344 loc 66","DS953","N3-W-23-080-03824","991099",429111
402262,80,"W",4,95,NA,"39",66.467,38.481149,-121.813543,0.77,"ML",3,"4A5344 loc 67","DS954","N3-W-23-080-03900","991101",429116
402265,80,"W",4,95,NA,"39.78",67.247,38.489167,-121.803384,0.75,"ML",3,"4A5344 LOC 69","DS956","N3-W-23-080-03978","991104",429121
402267,80,"W",4,95,NA,"40.5",67.967,38.49707,-121.79472,0.84,"ML",3,"4A5344 loc 72","DS958","N3-W-23-080-04050","991106",429126
402269,80,"W",4,95,NA,"41.46",68.927,38.507719,-121.78334,0.75,"ML",4,"4A5344 loc 73","DS959","N4-W-23-080-04146","991108",427950
402271,80,"W",4,95,NA,"42",69.467,38.513711,-121.776971,2.77,"ML",5,"4A5344 loc 76","DS960","N5-W-23-080-04200","991110",425094
402827,80,"W",4,75,67000,"6.84",3.3,37.799244,-122.376792,3.09,"ML",5,"SFOBB S-Curve","DSB14","N5-W-34-080-00684","991562",425157
403426,80,"W",4,95,NA,"33.46",60.927,38.424813,-121.886281,0.69,"ML",3,"1200' E of Midway Rd","DS934","N3-W-23-080-03346","997287",431552
403459,80,"W",4,13,NA,"11.666",24.999,38.033934,-122.251887,0.266,"ML",4,"1800' E of Calfiornia St OC","DTB41","L4-W-28-080-01167","997282",431248
403461,80,"W",4,13,NA,"12.437",25.77,38.042178,-122.242478,0.375,"ML",4,"W of Cummings Skywy","DTB42","L4-W-28-080-01244","997281",431260
404407,80,"W",4,13,NA,"13.527",26.86,38.052683,-122.227605,0.546,"ML",4,"Pomona St rm-w-diag","DT971","L4-W-28-080-01353","080262",424378
